Text,Score,Sentiment,clean_text
these are so bad for you teeth like if you got cavities they will deff stick to them .... these are sooo good omg i will buy again these are like heaven in your mouth i couldn't stop eating these,5,Positive,bad teeth like got cavities deff stick sooo good omg buy like heaven mouth stop eating
My dogs love these treats. The only problems I've encountered with these are the left over powder at the bottom and the sizes are not uniform; many big pieces and many very small pieces (very minor problems). But they are all natural and don't upset my dogs stomachs.,4,Positive,dogs love treats problems encountered left powder bottom sizes uniform many big pieces many small pieces minor problems natural upset dogs stomachs
I had bought another brand previously to this one....Berry Farm or something like that but they were out of stock so I settled on this company and consequently having to buy a whole lot more.  This powder is pale in color by comparison and the flavor is not nearly as good with a bitter after taste perhaps from using too much woody stem.,2,Negative,bought another brand previously one berry farm something like stock settled company consequently buy whole lot powder pale color comparison flavor nearly good bitter taste perhaps using much woody stem
"The chocolate layer is luscious.  Soft, medium dark (definitely not blah milk choc, anyway), possibly a hint of coffee -- very delicate, VERY nice!  What REALLY pleases me however, is that the almonds are tender, not ""roasted"" to rock-hardness, as is so often, unfortunately, the case.  We just discovered these and will definitely buy them again.  There are maybe 2 dozen almonds in the box?  We didn't count, but did find that these are so luxurious and rich that one or two is a serving.",5,Positive,chocolate layer luscious soft medium dark definitely blah milk choc anyway possibly hint coffee delicate nice really pleases however almonds tender roasted rock hardness often unfortunately case discovered definitely buy maybe dozen almonds box count find luxurious rich one two serving
"I enjoyed it as a chicken dip for roasted chicken. Very nice, a flavor I would buy again. I tried 2 flavors. Second was Spicy Ranchero, which I liked a little less.",5,Positive,enjoyed chicken dip roasted chicken nice flavor would buy tried flavors second spicy ranchero liked little less
These dog treats are AMAZING!!!!! My dog really loves them and they are perfect for her size since she is half golden retriever and german sheherd mix!  They use only natural ingredients so they never make her stomach upset and your dogs will love you forever!,5,Positive,dog treats amazing dog really loves perfect size since half golden retriever german sheherd mix use natural ingredients never make stomach upset dogs love forever
"I am not what I would consider to be a ""coffee lover"". By time I finish with prepping a cup of black 'joe' it is usually some sort of sugary milky drink. This is why I like this coffee so much! Not too intense and tasty enough that a splash of milk and one or two sugars and I'm set! No need for some kind of flavor shot or flavored creamer! Gotta love the price here on Amazon as well! It's technically $2 cheaper as a member on the Keurig site, but they charge almost $7 for shipping!",5,Positive,would consider coffee lover time finish prepping cup black joe usually sort sugary milky drink like coffee much intense tasty enough splash milk one two sugars set need kind flavor shot flavored creamer gotta love price amazon well technically cheaper member keurig site charge almost shipping
"I was previously on a Sweet and Salty Caramel Bugles kick, when I decided to try these. My mom asked me why I was eating the caramel ones, because the package states ""may contain wheat"", but they were so good, I continued. The Chocolate and Peanut Butter Bugles are truly delicious! I could go through an entire bag in one sitting, if I didn't start itching halfway through the bag, due to the wheat, and my Gluten Sensitivity. Before becoming Gluten Sensitive last year, I devoured the Peanut Butter and Chocolate Chex mix. If you like that, you will love these Bugles. They are so very good! Unfortunately, they do contain wheat, so if you are Gluten Sensitive, they will not work for you :-( I kept eating them, telling myself the itching wasn't that bad, but once I started itching within an hour of eating them, I had to accept they were not worth it. I highly recommend them to anyone and everyone who enjoys the combo of Chocolate and Peanut Butter.",5,Positive,previously sweet salty caramel bugles kick decided try mom asked eating caramel ones package states may contain wheat good continued chocolate peanut butter bugles truly delicious could go entire bag one sitting start itching halfway bag due wheat gluten sensitivity becoming gluten sensitive last year devoured peanut butter chocolate chex mix like love bugles good unfortunately contain wheat gluten sensitive work kept eating telling itching bad started itching within hour eating accept worth highly recommend anyone everyone enjoys combo chocolate peanut butter
"I really like this mix. I've used it in muffins which are great. I mixed in frozen blueberries. I've also used it as breading and it worked really well. The pancakes were good however, they were kind of flat. The mix has really good flavor, it is way better than Bob's Redmill pancake mix. Pamela's products are very good.",5,Positive,really like mix used muffins great mixed frozen blueberries also used breading worked really well pancakes good however kind flat mix really good flavor way better bob redmill pancake mix pamela products good
"Super fast shipment and great almonds! We will be ordering from this company again we made some fabulous raw crackers, almond butter, and granola for the family. I am excited to use the rest!",5,Positive,super fast shipment great almonds ordering company made fabulous raw crackers almond butter granola family excited use rest
